variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v0-40-cATM,1,1,4000,2800,765,1059466,1385,514,-3999,30790,263,189,0,339,56,-30317,19,34.9,16.44,31.9,4129,-4392,0,4092,791
v1-20-cATM,current/generic,3.5,7000,5000,765,1028949,1345,1124,-5095,18455,163,81,3,265,65,-21257,9,48.4,16.77,65.1,3589,-6990,0,31,42
v1-20-cATM,3,3,6000,4200,765,1027999,1344,1102,-5297,18455,159,82,3,265,65,-22492,12,45.7,16.68,65.1,3555,-5998,0,112,63
v1-20-cATM,2,2,4000,2800,765,997966,1305,1052,-3970,18190,169,74,0,270,65,-20563,13,48.5,15.84,64.9,3322,-4000,0,816,164
v1-20-cATM,1.5,1.5,3000,2100,765,873125,1141,892,-2992,12767,169,79,0,283,63,-16900,21,51.7,14.24,65,2972,-3000,0,2005,189
v1-20-cATM,1,1,2000,1400,765,637982,834,503,-2000,11008,185,2,0,312,59,-10951,15,58.3,10.99,64.7,2275,-2000,0,4482,172
v1-40-cATM,current/generic,2.25,9000,5000,765,1717448,2245,1824,-9000,31567,247,206,80,297,61,-34599,11,49.6,17.88,34.6,6226,-9000,0,1126,1125
v1-40-cATM,2,2,8000,5600,765,1678274,2194,1600,-7980,31567,243,201,82,298,61,-33919,11,49.5,17.03,35.1,5993,-8000,0,1528,805
v1-40-cATM,1.5,1.5,6000,4200,765,1478394,1933,1133,-5985,30478,244,192,38,312,59,-43529,18,34,14.84,34.9,5217,-6000,0,2971,825
v1-40-cATM,1,1,4000,2800,765,1081611,1414,386,-3995,30741,282,196,0,353,54,-30190,24,35.8,11.2,34.3,3935,-4000,0,5394,733
v2-20-cATM,current/generic,3.5,7000,5000,765,1173269,1534,1373,-6899,11923,151,87,2,248,67,-12518,5,93.7,20.3,49.1,4311,-6985,0,25,56
v2-20-cATM,3,3,6000,4200,765,1174493,1535,1369,-5899,11923,155,81,1,246,68,-13184,5,89.1,20.3,49,4286,-5982,0,78,120
v2-20-cATM,2,2,4000,2800,765,1096066,1433,1250,-3967,11790,168,91,0,266,65,-11177,6,98.1,19.53,48.5,4056,-4139,0,697,288
v2-20-cATM,1.5,1.5,3000,2100,765,1021871,1336,1035,-2997,13336,168,92,0,276,64,-14405,8,70.9,17.62,47.9,3623,-3008,0,1969,362
v2-20-cATM,1,1,2000,1400,765,699940,915,279,-2000,12111,224,5,0,342,55,-12840,9,54.5,13.38,46.9,2794,-2372,0,4594,375
v2-40-cATM,current/generic,2.25,9000,5000,765,1424709,1862,1042,-8958,34840,260,207,59,327,57,-35918,15,39.7,22.35,33,5964,-8998,0,454,1001
v2-40-cATM,2,2,8000,5600,765,1412796,1847,1029,-7936,34840,263,196,55,331,57,-36639,15,38.6,21.71,33.4,5832,-8460,0,676,700
v2-40-cATM,1.5,1.5,6000,4200,765,1386526,1812,977,-5981,32498,252,191,35,322,58,-33919,16,40.9,20.32,32.7,5277,-6295,0,1732,848
v2-40-cATM,1,1,4000,2800,765,1143458,1495,508,-3999,33775,260,179,0,337,56,-23985,19,47.7,16.55,30.9,4208,-4392,0,4103,816
v3-20-cATM,current/generic,3.5,7000,5000,765,1023015,1337,1035,-6215,11464,161,91,4,273,64,-18075,6,56.6,16.61,64.7,3514,-6955,0,36,39
v3-20-cATM,3,3,6000,4200,765,1062767,1389,1144,-5297,11469,152,84,4,268,65,-18505,6,57.4,16.51,65.2,3446,-5985,0,118,60
v3-20-cATM,2,2,4000,2800,765,1036986,1356,1186,-3970,11469,157,76,0,272,64,-17515,6,59.2,15.68,65.3,3226,-4000,0,798,142
v3-20-cATM,1.5,1.5,3000,2100,765,915973,1197,970,-2992,11725,155,84,0,282,63,-15781,12,58,14.08,65.4,2898,-3000,0,2000,164
v3-20-cATM,1,1,2000,1400,765,627728,821,475,-2000,9764,195,2,0,321,58,-14458,30,43.4,10.83,65.6,2205,-2000,0,4454,129
v3-40-cATM,current/generic,2.25,9000,5000,765,1718926,2247,1770,-9000,30135,248,203,80,297,61,-33562,11,51.2,17.88,35.1,5904,-9000,0,1114,1091
v3-40-cATM,2,2,8000,5600,765,1693472,2214,1633,-7980,30135,248,199,86,302,60,-29878,11,56.7,16.96,35.8,5660,-8000,0,1530,775
v3-40-cATM,1.5,1.5,6000,4200,765,1434439,1875,1248,-5985,29441,248,201,40,311,59,-41836,18,34.3,14.83,35.4,4937,-6000,0,2961,798
v3-40-cATM,1,1,4000,2800,765,1099552,1437,429,-3995,33028,270,187,0,350,54,-27060,24,40.6,11.28,34.8,3737,-4000,0,5332,725
v4-20-cATM,current/generic,3.5,7000,5000,765,1191931,1558,1407,-6990,24713,295,243,149,328,57,-51616,28,23.1,18.52,56,4213,-7000,0,1272,138
v4-20-cATM,3,3,6000,4200,765,1152508,1507,1235,-6000,24713,304,261,147,341,55,-53936,28,21.4,17.76,56,3988,-6000,0,1819,169
v4-20-cATM,2,2,4000,2800,765,975054,1275,54,-4000,23367,343,284,0,380,50,-43408,28,22.5,15.28,55.9,3329,-4173,0,3592,184
v4-20-cATM,1.5,1.5,3000,2100,765,840106,1098,-630,-3000,23367,350,281,0,414,46,-34502,29,24.3,13.15,55.7,2861,-3635,0,5029,180
v4-20-cATM,1,1,2000,1400,765,602540,788,-875,-2000,21222,368,6,0,447,41,-24340,27,24.8,9.76,54.4,2212,-2343,0,7348,167
